intersection_id,time_bin,vehicle_count,avg_speed,congestion_score,current_green,fuzzy_delta,suggested_green_fuzzy
"(('7116487491', 0, 203.17086079713982, 'y'),)",2025-09-09 00:13:10,1,61.47,0.0,20.0,0.0,20.0
"(('7116487491', 0, 204.26448383029003, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1508.01448383029, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1743.39448383029, 'G'))",2025-09-09 00:13:20,1,67.93,0.0,10.0,0.0,10.0
"(('7116487491', 0, 208.98003250536664, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1512.7300325053666, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1748.1100325053667, 'r'), ('cluster_3681802616_8393114933', 4, 1937.8600325053667, 'G'))",2025-09-09 00:13:20,1,69.05,0.0,10.0,0.0,10.0
"(('7116487491', 0, 220.24619326971532, 'y'),)",2025-09-09 00:13:10,1,62.83,0.0,20.0,0.0,20.0
"(('7116487491', 0, 223.1344561129984, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1526.8844561129984, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1762.2644561129982, 'r'))",2025-09-09 00:13:20,1,69.37,0.0,10.0,0.0,10.0
"(('7116487491', 0, 228.15936185400165, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1531.9093618540016, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1767.2893618540015, 'r'), ('cluster_3681802616_8393114933', 4, 1957.0393618540015, 'G'))",2025-09-09 00:13:20,1,68.12,0.0,10.0,0.0,10.0
"(('7116487491', 0, 237.69958457119327, 'y'),)",2025-09-09 00:13:10,1,59.51,0.0,20.0,0.0,20.0
"(('7116487491', 0, 242.40294577519745, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1546.1529457751974, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1781.5329457751973, 'r'))",2025-09-09 00:13:20,1,66.69,0.0,10.0,0.0,10.0
"(('7116487491', 0, 247.08174772119793, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1550.8317477211979, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1786.2117477211978, 'r'), ('cluster_3681802616_8393114933', 4, 1975.9617477211978, 'G'))",2025-09-09 00:13:20,1,69.65,0.0,10.0,0.0,10.0
"(('7116487491', 0, 254.23100238232865, 'y'),)",2025-09-09 00:13:10,1,60.14,0.0,20.0,0.0,20.0
